letter,kernel,row,col,response
Z,horizontal,0,0,2.0
Z,horizontal,0,1,1.0
Z,horizontal,0,2,1.0
Z,horizontal,1,0,-1.0
Z,horizontal,1,1,0.0
Z,horizontal,1,2,1.0
Z,horizontal,2,0,-1.0
Z,horizontal,2,1,-1.0
Z,horizontal,2,2,-2.0
Z,vertical,0,0,0.0
Z,vertical,0,1,-1.0
Z,vertical,0,2,1.0
Z,vertical,1,0,-1.0
Z,vertical,1,1,0.0
Z,vertical,1,2,1.0
Z,vertical,2,0,-1.0
Z,vertical,2,1,1.0
Z,vertical,2,2,0.0
Z,diagonal,0,0,1.0
Z,diagonal,0,1,0.0
Z,diagonal,0,2,1.0
Z,diagonal,1,0,-1.0
Z,diagonal,1,1,0.0
Z,diagonal,1,2,1.0
Z,diagonal,2,0,-1.0
Z,diagonal,2,1,0.0
Z,diagonal,2,2,-1.0
J,horizontal,0,0,2.0
J,horizontal,0,1,1.0
J,horizontal,0,2,1.0
J,horizontal,1,0,-1.0
J,horizontal,1,1,0.0
J,horizontal,1,2,0.0
J,horizontal,2,0,-1.0
J,horizontal,2,1,-1.0
J,horizontal,2,2,0.0
J,vertical,0,0,0.0
J,vertical,0,1,-1.0
J,vertical,0,2,1.0
J,vertical,1,0,1.0
J,vertical,1,1,-2.0
J,vertical,1,2,2.0
J,vertical,2,0,1.0
J,vertical,2,1,-1.0
J,vertical,2,2,2.0
J,diagonal,0,0,1.0
J,diagonal,0,1,0.0
J,diagonal,0,2,1.0
J,diagonal,1,0,0.0
J,diagonal,1,1,-1.0
J,diagonal,1,2,1.0
J,diagonal,2,0,0.0
J,diagonal,2,1,-1.0
J,diagonal,2,2,1.0
U,horizontal,0,0,0.0
U,horizontal,0,1,0.0
U,horizontal,0,2,0.0
U,horizontal,1,0,0.0
U,horizontal,1,1,0.0
U,horizontal,1,2,0.0
U,horizontal,2,0,-1.0
U,horizontal,2,1,-2.0
U,horizontal,2,2,-1.0
U,vertical,0,0,2.0
U,vertical,0,1,0.0
U,vertical,0,2,-2.0
U,vertical,1,0,2.0
U,vertical,1,1,0.0
U,vertical,1,2,-2.0
U,vertical,2,0,1.0
U,vertical,2,1,0.0
U,vertical,2,2,-1.0
U,diagonal,0,0,1.0
U,diagonal,0,1,0.0
U,diagonal,0,2,-1.0
U,diagonal,1,0,1.0
U,diagonal,1,1,0.0
U,diagonal,1,2,-1.0
U,diagonal,2,0,0.0
U,diagonal,2,1,-1.0
U,diagonal,2,2,-1.0
